Column_1,Column_2,Column_3,Column_4,Column_5
0.55329,0.42495,7.97705,2.21259,0.11264
0.54671,0.42235,8.06006,1.71372,0.11158
0.54938,0.42073,8.11133,1.64335,0.11264
0.55782,0.41845,8.13086,1.51087,0.11158
0.53436,0.41618,8.11377,1.47361,0.11158
0.51296,0.4152,8.08203,1.43842,0.11158
0.50576,0.41293,7.98438,1.33906,0.11052
0.50432,0.41033,7.93555,1.3639,0.11052
0.50123,0.41033,7.82813,1.50259,0.11052
0.49877,0.40903,7.73535,1.54399,0.11052
0.48663,0.40773,7.69873,1.53985,0.11052
0.48765,0.40546,7.68164,1.51708,0.10946
0.49403,0.40416,7.83057,1.51708,0.11052
0.49053,0.40416,13.49219,1.61437,0.11052
0.50823,0.40416,49.58594,9.41606,0.11052
2029.83539,3360.13645,3835,2772.39702,1183.14631
2620.37037,3328.46004,3798.86719,2797.2366,1187.3809
2619.34156,3300.03249,3782.26563,2856.23059,1195.8501
2626.54321,3295.97141,3763.71094,2884.17512,1208.55389
2617.28395,3291.09812,3747.10938,2903.83978,1212.78848
2619.34156,3294.34698,3740.27344,2915.22459,1217.02308
2615.22634,3297.59584,3734.41406,2921.43449,1225.49227
2622.42798,3300.03249,3738.32031,2941.09915,1233.96147
2634.77366,3301.65692,3736.36719,2951.44898,1238.19606
2663.58025,3304.09357,3732.46094,2955.5889,1238.19606
2652.26337,3314.65237,3733.4375,2956.62389,1238.19606
2650.20576,3317.90123,3730.50781,2959.72883,1242.43066
2651.23457,3317.90123,3731.48438,2962.83378,1242.43066
2657.40741,3321.96231,3735.39063,2959.72883,1246.66526
2662.55144,3322.77453,3742.22656,2960.76382,1246.66526
2660.49383,3321.1501,3747.10938,2960.76382,1246.66526
2658.43621,3321.96231,3743.20313,2953.51894,1246.66526
2656.3786,3323.58674,3745.15625,2949.37901,1250.89985
2651.23457,3329.27225,3744.17969,2952.48396,1250.89985
2649.17695,3328.46004,3742.22656,2957.65887,1255.13445
2650.20576,3328.46004,3744.17969,2961.7988,1255.13445
2.3107,0.47888,5.84326,2.29538,0.05865
0.3786,0.53314,6.28271,1.69716,0.09358
0.3323,0.55361,6.76855,2.48582,0.10311
0.2249,0.54288,7.43262,3.1213,0.11052
0.40103,0.54029,7.38623,2.81288,0.10946
0.45062,0.54613,7.03955,2.27261,0.11687
0.40309,0.54808,7.41064,2.00559,0.11052
0.44794,0.54256,7.97217,2.34506,0.11476
0.42366,0.54224,7.30322,2.20431,0.11476
0.43786,0.53704,6.85156,1.86483,0.11582
0.44959,0.53086,7.52783,1.81101,0.11793
0.53807,0.52859,7.95264,1.88967,0.12005
0.54856,0.52404,7.72314,1.76133,0.12111
0.57119,0.51819,7.66455,1.9497,0.12111
