Column_1,Column_2,Column_3,Column_4,Column_5
0.8858,0.42138,6.3291,3.27241,0.07453
0.88827,0.42203,6.37793,3.22687,0.0777
0.88683,0.4204,6.39014,3.25378,0.07876
0.86667,0.41715,6.47559,3.41523,0.07982
0.81564,0.41618,6.59277,3.45249,0.07982
0.78539,0.41455,6.64404,3.46077,0.07982
0.75988,0.41196,6.67334,3.38005,0.0777
0.75226,0.41001,6.73926,3.38005,0.0777
0.71955,0.40936,6.81982,3.4111,0.0777
0.70021,0.40968,6.91748,3.33037,0.0777
0.68807,0.40936,6.90039,3.27448,0.0777
0.68086,0.41033,6.86621,3.22273,0.0777
0.67305,0.40838,6.82227,3.21652,0.0777
0.67428,0.40513,6.87109,4.64272,0.07876
0.66728,0.40448,8.01367,26.92383,0.07982
2598.76543,3155.45809,3346.71875,3106.69634,1166.20792
2611.11111,3144.08707,3716.83594,3132.5709,1229.72687
2600.82305,3127.03054,3731.48438,3073.5769,1238.19606
2601.85185,3099.4152,3725.625,3065.29704,1246.66526
2615.22634,3090.48083,3730.50781,3059.08715,1250.89985
2633.74486,3097.79077,3729.53125,3081.85676,1259.36905
2637.86008,3104.2885,3730.50781,3103.59139,1259.36905
2645.06173,3104.2885,3735.39063,3106.69634,1259.36905
2643.00412,3113.22287,3735.39063,3118.08114,1267.83824
2661.52263,3124.59389,3736.36719,3101.52142,1263.60364
2658.43621,3122.15724,3738.32031,3103.59139,1263.60364
2664.60905,3120.53281,3740.27344,3105.66135,1263.60364
2662.55144,3126.21832,3743.20313,3112.90623,1263.60364
2660.49383,3133.52827,3750.03906,3112.90623,1263.60364
2664.60905,3139.21378,3753.94531,3108.7663,1259.36905
2667.69547,3144.08707,3756.875,3110.83627,1259.36905
2671.8107,3144.08707,3764.6875,3119.11613,1255.13445
2674.89712,3149.77258,3770.54688,3122.22107,1255.13445
2677.98354,3153.02144,3771.52344,3125.32602,1255.13445
2679.01235,3155.45809,3775.42969,3133.60588,1250.89985
2670.78189,3159.51917,3778.35938,3136.71083,1250.89985
0.50802,0.4386,17.40576,5.03188,0.0235
0.22243,0.51137,4.979,1.95591,0.04542
0.31276,0.52891,5.07422,2.4941,0.05537
0.52366,0.55003,6.04346,2.92879,0.06183
0.55473,0.53606,6.42188,3.04678,0.06712
0.79979,0.53996,6.1582,3.45663,0.07347
0.79218,0.54224,5.55762,3.142,0.07029
0.80905,0.53671,5.81885,3.3076,0.05865
0.80988,0.52697,5.97266,2.99503,0.05378
0.99547,0.52437,5.68701,3.29104,0.0577
0.87634,0.52014,6.05078,3.55392,0.06394
0.94959,0.51689,6.2998,4.05485,0.07135
0.91337,0.51592,6.47314,4.70275,0.06712
0.84198,0.51267,6.3291,4.40675,0.06712
