Column_1,Column_2,Column_3,Column_4,Column_5
1.00473,0.46231,0.23315,10.24612,0.13593
0.98621,0.46296,0.2771,10.36204,0.13593
0.97449,0.46296,0.30444,10.39516,0.13593
0.9786,0.46231,0.30005,10.38274,0.13805
0.97593,0.46231,0.28003,10.43242,0.13805
0.96749,0.46231,0.2854,10.40344,0.13805
0.96955,0.46329,0.28174,10.41172,0.13911
0.97428,0.46426,0.31299,10.36411,0.13911
0.94506,0.46524,0.32104,9.97288,0.13911
0.93066,0.46459,0.29883,9.63962,0.14017
0.91852,0.46426,0.29175,9.07452,0.14017
0.92613,0.46556,0.33765,8.74332,0.14017
0.94074,0.46686,0.38599,9.00828,0.14122
0.9679,0.46719,9.31006,26.19934,0.14228
0.97387,0.46751,53.1748,3482.39495,0.14228
2537.03704,3071.79987,2892.61719,3708.02111,1081.51599
2568.93004,3070.98765,2916.05469,3744.2455,1356.76477
2579.21811,3051.49448,2925.82031,3738.0356,1318.6534
2560.69959,3061.24107,2935.58594,3730.79073,1335.59178
2554.52675,3075.04873,2934.60938,3724.58083,1344.06098
2567.90123,3096.16634,2926.79688,3713.19603,1352.53017
2586.41975,3109.97401,2919.96094,3712.16104,1356.76477
2596.70782,3120.53281,2930.70313,3716.30097,1339.82638
2597.73663,3130.2794,2931.67969,3712.16104,1335.59178
2600.82305,3134.34048,2937.53906,3716.30097,1348.29557
2615.22634,3140.83821,2946.32813,3714.23101,1344.06098
2628.60082,3148.96036,2952.1875,3708.02111,1344.06098
2639.9177,3151.39701,2961.95313,3710.09108,1339.82638
2641.97531,3153.83366,2967.8125,3717.33596,1348.29557
2647.11934,3158.70695,2966.83594,3718.37094,1344.06098
2652.26337,3164.39246,2964.88281,3715.26599,1344.06098
2654.32099,3164.39246,2969.76563,3717.33596,1344.06098
2657.40741,3167.64133,2968.78906,3713.19603,1352.53017
2664.60905,3170.07797,2973.67188,3713.19603,1352.53017
2674.89712,3175.76348,2976.60156,3721.47588,1356.76477
2701.64609,3177.38791,2979.53125,3296.09812,1360.99936
3.3251,0.77713,34.79102,8.56738,0.05166
0.92305,0.38954,0.68164,3.35314,0.07559
0.82695,0.40448,0.3396,4.92631,0.09358
0.82346,0.42982,0.19702,4.57235,0.10523
0.89568,0.43405,0.31348,5.87642,0.10841
0.88374,0.44347,0.60571,7.06872,0.11264
0.80988,0.46101,0.47607,7.02525,0.11582
0.83004,0.47238,0.48999,7.54067,0.12005
0.86728,0.47336,0.49097,7.66901,0.12429
0.92551,0.47141,0.60254,6.62989,0.11899
0.93292,0.47238,0.67749,7.02732,0.1137
0.99198,0.47044,0.71411,7.26123,0.11264
0.97798,0.46784,0.72192,7.83047,0.11052
0.96955,0.46524,0.68579,8.47216,0.11476
