Column_1,Column_2,Column_3,Column_4,Column_5
0.79712,0.41228,5.7749,4.60339,0.0777
0.78951,0.41033,5.67725,4.52681,0.07665
0.77037,0.40578,5.69922,4.51646,0.07665
0.75905,0.40318,5.77734,4.5206,0.07559
0.72675,0.40156,5.89209,4.5413,0.07665
0.68724,0.39994,5.91406,4.5827,0.07665
0.68498,0.39864,5.87012,4.55372,0.07559
0.67325,0.39669,5.93359,4.49162,0.07559
0.6642,0.39571,5.97754,4.48334,0.07559
0.65947,0.39441,5.88721,4.45229,0.07665
0.64815,0.39279,5.875,4.39847,0.0777
0.64547,0.39246,5.84326,4.40882,0.0777
0.63971,0.39214,5.80176,6.46636,0.07876
0.63745,0.39084,5.85547,30.81536,0.08088
2442.38683,2994.63938,2875.03906,3385.1066,1191.6155
2729.42387,2882.55361,3589.88281,3372.68681,1250.89985
2653.29218,2873.61923,3581.09375,3339.56738,1242.43066
2708.84774,2867.12151,3548.86719,3326.11261,1255.13445
2720.16461,2870.37037,3577.1875,3323.00766,1267.83824
2712.96296,2887.4269,3562.53906,3323.00766,1272.07284
2706.79012,2892.30019,3560.58594,3321.97268,1280.54203
2698.55967,2900.42235,3574.25781,3329.21755,1289.01122
2717.07819,2904.48343,3608.4375,3345.77727,1293.24582
2730.45267,2906.92008,3622.10938,3351.98717,1297.48041
2737.65432,2910.98116,3650.42969,3351.98717,1293.24582
2748.97119,2915.85445,3629.92188,3358.19706,1297.48041
2751.02881,2923.97661,3628.94531,3367.5119,1301.71501
2755.14403,2929.66212,3627.96875,3379.93169,1305.94961
2740.74074,2939.40871,3623.08594,3389.24653,1310.1842
2745.88477,2944.282,3633.82813,3400.63134,1310.1842
2739.71193,2949.1553,3625.03906,3407.87622,1314.4188
2735.59671,2952.40416,3639.6875,3402.7013,1314.4188
2730.45267,2957.27745,3649.45313,3408.9112,1318.6534
2732.51029,2962.15075,3662.14844,3405.80625,1314.4188
2733.53909,2967.02404,3662.14844,3409.94618,1314.4188
2677.98354,2650.25991,3664.10156,2588.17015,1013.76244
2.15226,0.41001,38.62402,4.1894,0.05865
0.40288,0.50682,4.03174,2.73215,0.07665
0.39609,0.52697,3.09424,3.22894,0.07982
0.57325,0.54224,3.81201,4.13765,0.08723
0.66687,0.53639,3.90479,3.99483,0.08723
0.66461,0.53509,4.38086,3.62637,0.09358
0.91132,0.53704,4.68359,3.95343,0.09147
0.96008,0.53866,4.69336,4.08176,0.08617
0.85967,0.53379,5.21094,3.8313,0.08617
0.70535,0.52891,5.38672,3.92652,0.08406
0.66852,0.52372,5.38428,3.90375,0.08829
0.67346,0.51657,5.09131,3.71331,0.08406
0.70123,0.51007,5.11816,3.53115,0.09041
0.71584,0.50487,5.18896,3.58497,0.08829
