Column_1,Column_2,Column_3,Column_4,Column_5
0.02241,0.12926,0.08867,0.16016,0.10324
0.02164,0.12957,0.08778,0.15844,0.10235
0.02087,0.12799,0.0863,0.15729,0.09912
0.02035,0.12736,0.08482,0.15528,0.09824
0.02009,0.12484,0.08452,0.15385,0.09765
0.01958,0.12264,0.08363,0.1527,0.09441
0.01958,0.12137,0.08422,0.15184,0.09353
0.01958,0.12137,0.08215,0.15069,0.09324
0.02035,0.12043,0.08155,0.1504,0.09235
0.02087,0.12011,0.08155,0.14983,0.09147
0.02009,0.11791,0.08066,0.14925,0.09088
0.01958,0.11665,0.07859,0.14839,0.09147
0.01906,0.11538,0.0777,0.14724,0.09088
0.01777,0.11507,0.07622,0.14667,0.08882
0.01752,0.11412,0.07592,0.1461,0.10029
4191.65379,2573.13997,2306.76157,2814.00689,2880
4059.76301,2476.92308,2274.37722,3171.06774,3219.88235
4049.45904,2416.89786,2237.01068,3137.77268,3125.64706
4041.21587,2387.76797,2197.15302,3118.25488,3074.82353
4045.33745,2374.52711,2197.15302,3107.92193,3061.05882
4057.70222,2374.52711,2198.81376,3105.62572,3046.23529
4063.8846,2361.28625,2197.98339,3104.47761,3040.94118
4068.00618,2350.69357,2197.98339,3098.73708,3042
4072.12777,2334.80454,2195.49229,3096.44087,3029.29412
4068.00618,2340.98361,2189.67972,3088.40413,3019.76471
4068.00618,2341.86633,2188.01898,3090.70034,3013.41176
4074.18856,2338.33544,2184.69751,3087.25603,3007.05882
4076.24936,2335.68726,2183.03677,3092.99656,3009.17647
4080.37094,2337.45271,2184.69751,3097.58898,3009.17647
4084.49253,2337.45271,2190.51008,3099.88519,3003.88235
4090.67491,2343.63178,2197.15302,3105.62572,3006
4090.67491,2353.34174,2200.4745,3113.66246,3006
4084.49253,2361.28625,2201.30486,3115.95867,3008.11765
4100.97888,2363.0517,2197.15302,3118.25488,3006
4109.22205,2361.28625,2197.15302,3121.6992,3007.05882
4115.40443,2365.69987,2201.30486,3130.88404,2999.64706
0.04894,0.11728,0.03025,0.34931,0.07941
0.08423,0.11948,0.09253,0.19317,0.11529
0.09093,0.15448,0.1376,0.20408,0.14882
0.08114,0.1652,0.13731,0.22216,0.16294
0.07445,0.18537,0.15421,0.22158,0.175
0.0796,0.20681,0.16489,0.21958,0.17794
0.08063,0.20839,0.15955,0.22158,0.17941
0.07599,0.20807,0.16459,0.21383,0.18971
0.07367,0.21217,0.16192,0.20924,0.19765
0.06981,0.21375,0.16518,0.2101,0.19647
0.06517,0.21343,0.16489,0.20666,0.19206
0.06414,0.20712,0.16726,0.20092,0.18824
0.0626,0.2046,0.164,0.20235,0.18735
0.06002,0.20586,0.16014,0.19776,0.18294
