Column_1,Column_2,Column_3,Column_4,Column_5
0.11309,0.16803,0.14413,0.07865,0.06676
0.11231,0.16709,0.14413,0.07807,0.06382
0.11128,0.16646,0.14383,0.0775,0.06382
0.11051,0.16614,0.14353,0.07606,0.06147
0.11103,0.16551,0.14146,0.0752,0.06088
0.11077,0.16551,0.14057,0.07405,0.05912
0.10974,0.16393,0.13968,0.07377,0.05794
0.11051,0.16362,0.13879,0.07377,0.05676
0.11103,0.16488,0.13849,0.0729,0.05618
0.11128,0.1633,0.1379,0.07204,0.05618
0.11206,0.16362,0.13731,0.07147,0.055
0.11154,0.16204,0.13671,0.07061,0.05441
0.11206,0.16173,0.13582,0.07003,0.05382
0.11257,0.1611,0.13434,0.0686,0.05265
0.11618,0.16141,0.13523,0.06774,0.08824
4696.54817,1979.06683,2448.75445,2869.11596,2854.58824
4754.25039,2425.72509,2353.26216,2771.52698,2937.17647
4785.16229,2409.83607,2324.19929,2716.41791,2908.58824
4811.9526,2409.83607,2276.86833,2703.78875,2893.76471
4822.25657,2403.657,2275.20759,2714.1217,2886.35294
4820.19578,2420.42875,2266.90391,2721.01033,2860.94118
4830.49974,2438.96595,2261.92171,2725.60276,2863.05882
4832.56054,2440.7314,2254.4484,2731.34328,2852.47059
4832.56054,2428.37327,2244.48399,2732.49139,2848.23529
4836.68212,2406.30517,2237.84104,2747.41676,2853.52941
4851.10768,2409.83607,2212.09964,2738.23192,2853.52941
4857.29006,2417.78058,2205.4567,2734.7876,2855.64706
4865.53323,2422.1942,2203.79597,2739.38002,2854.58824
4877.89799,2427.49054,2209.60854,2748.56487,2855.64706
4894.38434,2436.31778,2211.26928,2750.86108,2854.58824
4898.50592,2432.78689,2217.91222,2747.41676,2858.82353
4908.80989,2439.84868,2249.46619,2745.12055,2857.76471
4919.11386,2442.49685,2259.4306,2747.41676,2855.64706
4917.05307,2450.44136,2259.4306,2750.86108,2855.64706
4921.17465,2454.85498,2256.9395,2753.15729,2860.94118
4914.99227,2458.38588,2262.75208,2752.00918,2870.47059
0.12545,0.04729,0.26542,0.08639,0.01824
0.13344,0.05832,0.07948,0.12801,0.06206
0.13936,0.10372,0.13464,0.13863,0.10294
0.13756,0.14565,0.15807,0.1283,0.11735
0.12828,0.16583,0.16815,0.1283,0.13088
0.13524,0.17339,0.17942,0.12859,0.13412
0.14606,0.20366,0.18802,0.13548,0.14588
0.14657,0.21311,0.18683,0.13691,0.15324
0.14297,0.221,0.18713,0.12859,0.14471
0.13988,0.21847,0.18832,0.12629,0.13735
0.13575,0.21375,0.18594,0.12371,0.13559
0.13292,0.20933,0.19069,0.12342,0.13382
0.13575,0.20208,0.19395,0.12715,0.13412
0.13936,0.19515,0.19721,0.12945,0.13353
