Column_1,Column_2,Column_3,Column_4,Column_5
0.12468,0.16393,0.15332,0.10936,0.08735
0.12494,0.16393,0.15243,0.1085,0.08647
0.12545,0.16456,0.15125,0.10735,0.08618
0.12545,0.16425,0.15006,0.10505,0.08412
0.12545,0.16362,0.15006,0.10476,0.08294
0.12545,0.16299,0.14887,0.10333,0.08235
0.12597,0.16299,0.1468,0.10333,0.08147
0.127,0.16299,0.1468,0.10161,0.08118
0.12725,0.16236,0.1465,0.10103,0.07971
0.12725,0.16141,0.14561,0.10017,0.07794
0.1288,0.16299,0.14531,0.09931,0.07676
0.12906,0.1652,0.14561,0.09845,0.07647
0.12803,0.16709,0.14413,0.0973,0.07588
0.12906,0.1652,0.14502,0.09701,0.07618
0.12906,0.39092,0.14383,0.09644,0.07441
4601.75167,2388.65069,2234.51957,2943.74282,2980.58824
4729.52087,2370.11349,2148.16133,2876.00459,2953.05882
4739.82483,2372.76166,2102.4911,2833.52468,2939.29412
4754.25039,2363.93443,2083.39265,2789.89667,2904.35294
4764.55435,2364.81715,2088.37485,2773.82319,2902.23529
4768.67594,2364.81715,2090.03559,2772.67509,2912.82353
4772.79753,2365.69987,2098.33926,2786.45235,2923.41176
4783.10149,2364.81715,2101.66074,2779.56372,2931.88235
4795.46625,2363.93443,2097.5089,2769.23077,2936.11765
4789.28387,2365.69987,2094.18743,2764.63835,2941.41176
4795.46625,2366.5826,2091.69632,2762.34214,2941.41176
4803.70943,2368.34805,2081.73191,2757.74971,2943.52941
4816.07419,2368.34805,2074.2586,2757.74971,2938.23529
4826.37816,2368.34805,2063.46382,2755.4535,2928.70588
4842.8645,2370.11349,2062.63345,2757.74971,2919.17647
4857.29006,2377.17528,2058.48161,2754.3054,2923.41176
4861.41164,2382.47163,2064.29419,2770.37887,2926.58824
4867.59402,2380.70618,2077.58007,2764.63835,2929.76471
4873.7764,2380.70618,2091.69632,2761.19403,2930.82353
4877.89799,2384.23707,2087.54448,2760.04592,2931.88235
4888.20196,2384.23707,2120.75919,2694.6039,2928.70588
0.20814,0.07346,0.04893,0.10936,0.01118
0.1507,0.11223,0.11032,0.1527,0.05912
0.14838,0.12957,0.14087,0.14524,0.10618
0.13679,0.14218,0.15065,0.14495,0.12765
0.1373,0.16173,0.16044,0.15155,0.13029
0.14503,0.16898,0.16963,0.15643,0.13588
0.14786,0.18222,0.17675,0.15987,0.14647
0.15585,0.19451,0.17556,0.15729,0.15206
0.1525,0.20113,0.18031,0.15815,0.14324
0.14786,0.2046,0.17497,0.1593,0.13441
0.14838,0.20429,0.17942,0.15758,0.13441
0.15018,0.20681,0.18654,0.15413,0.13
0.14992,0.20618,0.18802,0.157,0.13059
0.15379,0.2046,0.18594,0.1593,0.12941
