Column_1,Column_2,Column_3,Column_4,Column_5
0.08707,0.19231,0.12367,0.1194,0.07971
0.08681,0.18947,0.12189,0.11883,0.07706
0.08578,0.18569,0.121,0.11711,0.07588
0.08527,0.18506,0.12011,0.11452,0.07559
0.08449,0.18222,0.1204,0.11366,0.07529
0.08372,0.17907,0.11981,0.11251,0.07412
0.08398,0.17686,0.11803,0.11137,0.07265
0.08372,0.17528,0.11803,0.10993,0.07147
0.0832,0.17213,0.11684,0.10936,0.07029
0.0832,0.17087,0.11447,0.1085,0.06941
0.08243,0.1674,0.11507,0.10763,0.06971
0.0814,0.16393,0.11477,0.10677,0.06941
0.08037,0.1633,0.11388,0.10677,0.06941
0.08114,0.16141,0.1121,0.10706,0.06794
0.08114,0.16047,0.11091,0.18542,0.11706
4525.50232,2657.88146,2337.48517,3005.74053,3033.52941
4463.67852,2610.21438,2266.07355,2890.92997,2937.17647
4480.16486,2592.5599,2210.43891,2879.44891,2873.64706
4494.59042,2588.14628,2192.17082,2854.19059,2842.94118
4525.50232,2591.67718,2187.18861,2838.11711,2824.94118
4527.56311,2596.97352,2205.4567,2816.3031,2828.11765
4513.13756,2585.49811,2202.9656,2811.71068,2822.82353
4513.13756,2604.03531,2204.62633,2820.89552,2826
4525.50232,2609.33165,2207.94781,2824.33984,2821.76471
4539.92787,2606.68348,2212.93001,2826.63605,2816.47059
4535.80629,2619.04161,2213.76038,2827.78416,2811.17647
4533.74549,2626.1034,2207.11744,2824.33984,2814.35294
4546.11025,2621.68979,2206.28707,2825.48794,2817.52941
4550.23184,2630.51702,2204.62633,2824.33984,2817.52941
4550.23184,2627.86885,2196.32266,2824.33984,2824.94118
4558.47501,2633.1652,2196.32266,2826.63605,2828.11765
4564.65739,2638.46154,2197.15302,2841.56142,2826
4564.65739,2640.22699,2196.32266,2845.00574,2818.58824
4579.08295,2637.57881,2196.32266,2848.45006,2817.52941
4581.14374,2638.46154,2197.98339,2849.59816,2816.47059
4585.26533,2644.64061,2199.64413,2855.33869,2816.47059
0.13575,0.08953,0.08007,0.08525,0.045
0.1391,0.15069,0.09757,0.1217,0.09471
0.14657,0.18506,0.1382,0.13002,0.11324
0.15044,0.20618,0.14887,0.15442,0.13206
0.15636,0.2396,0.16489,0.16361,0.13471
0.15353,0.25032,0.17705,0.16418,0.14
0.14683,0.25883,0.17912,0.16188,0.14706
0.14451,0.26765,0.1809,0.16389,0.15147
0.14013,0.26356,0.18268,0.15729,0.14853
0.1391,0.25631,0.17675,0.15557,0.14706
0.13627,0.25725,0.17586,0.15126,0.14559
0.13266,0.25757,0.17883,0.15299,0.14029
0.12957,0.25063,0.17912,0.15241,0.13559
0.12236,0.24338,0.18149,0.15069,0.13118
