Column_1,Column_2,Column_3,Column_4,Column_5
0.375,0.05176,0.35258,0.04644,0.06066
0.38112,0.05195,0.35454,0.04962,0.05945
0.38024,0.05233,0.34916,0.04347,0.05848
0.38724,0.05233,0.33668,0.03817,0.05969
0.38199,0.05082,0.33741,0.03774,0.06091
0.39598,0.05025,0.33961,0.03711,0.06139
0.38636,0.05025,0.33717,0.03647,0.06164
0.37937,0.05063,0.34328,0.03605,0.06212
0.38986,0.05044,0.33521,0.03562,0.06188
0.38549,0.05025,0.32567,0.03541,0.06212
0.39336,0.05006,0.32028,0.03435,0.06261
0.37762,0.04968,0.3149,0.0335,0.06236
0.38112,0.05006,0.34279,0.03223,0.06066
0.37063,0.05006,2.07071,0.03159,0.05994
0.38986,0.04968,3.01517,0.05195,0.05969
0.37413,3209.32878,3407.13237,2598.5793,0.05921
0.37587,3236.44293,3502.55689,2879.11366,3116.91337
0.37675,3241.37277,3561.40201,2878.07464,3171.94856
0.37762,3261.09215,3597.9814,2881.19169,3185.92575
0.38811,3253.69738,3666.36897,2898.85496,3208.63868
0.37063,3274.64922,3712.49082,2917.55725,3212.13298
0.38024,3283.27645,3744.299,2936.25954,3213.88013
0.36976,3288.2063,3763.3839,2934.18151,3218.248
0.38199,3296.83352,3792.01126,2930.02545,3221.7423
0.36888,3302.99583,3811.09616,2926.9084,3234.84591
0.38549,3310.3906,3814.27698,2923.79135,3247.94953
0.37325,3319.01782,3825.40984,2924.83036,3261.92672
0.38811,3321.48275,3830.18106,2927.94741,3266.29459
0.37325,3320.25028,3817.45779,2927.94741,3282.01893
0.37325,3338.7372,3807.91534,2932.10348,3276.77748
0.37762,3339.96966,3814.27698,2933.14249,3279.3982
0.3715,3347.36443,3834.95229,2941.45462,3284.63965
0.37937,3353.52673,3839.72351,2951.84478,3285.51322
0.38024,3357.22412,3858.80842,2957.03986,3282.01893
0.38112,3358.45658,3863.57964,2962.23494,3281.14535
0.36626,3364.61889,3869.94128,2968.46904,3282.01893
0.38287,0.01896,0.91118,0.11175,3281.14535
0.39248,0.05233,0.10301,0.10157,0.23611
0.38374,0.05063,0.27135,0.11938,0.25237
0.38199,0.06068,0.35258,0.12871,0.26595
0.3785,0.06352,0.48275,0.14673,0.24921
0.38287,0.05138,0.61732,0.13719,0.23053
0.37675,0.0457,0.69342,0.12786,0.21451
0.37325,0.05897,0.73526,0.12383,0.20408
0.37937,0.05347,0.76119,0.12171,0.19122
0.38636,0.05195,0.76168,0.11747,0.1769
0.37675,0.05138,0.78248,0.1126,0.16622
0.38811,0.05082,0.49303,0.10581,0.15506
0.375,0.04873,0.39564,0.09945,0.14535
0.3951,0.04645,0.43822,0.09584,0.13468
