Column_1,Column_2,Column_3,Column_4,Column_5
0.51836,0.05992,0.32787,0.04008,0.04052
0.50437,0.05973,0.32371,0.03859,0.03931
0.5236,0.05897,0.31882,0.0388,0.03931
0.5236,0.05935,0.30878,0.03859,0.03834
0.52185,0.05992,0.29949,0.03796,0.03834
0.52448,0.05859,0.29435,0.03753,0.03737
0.5236,0.05935,0.29239,0.03562,0.03616
0.52098,0.0603,0.29484,0.03541,0.03591
0.53409,0.05954,0.29582,0.03478,0.03519
0.53322,0.05802,0.30046,0.03393,0.0347
0.54545,0.05802,0.30585,0.03393,0.03519
0.53059,0.0565,0.29777,0.03329,0.0347
0.53846,0.05669,0.41816,0.03138,0.03373
0.53497,0.05575,2.24933,0.03096,0.03519
0.53934,0.06693,3.53878,0.03011,0.03543
0.53409,2621.44482,3284.67091,3162.76506,0.03519
0.53147,3296.83352,3330.79276,3178.3503,2383.98447
0.54108,3323.94767,3330.79276,3189.77947,2674.88474
0.53059,3354.7592,3302.1654,3191.85751,2598.88377
0.52885,3381.87334,3329.20235,3183.54538,2563.06722
0.5472,3421.3121,3365.78175,3184.58439,2535.98641
0.53584,3460.75085,3364.19134,3204.3257,2531.61854
0.54371,3476.77285,3354.64889,3215.75488,2532.49211
0.54633,3500.18961,3349.87766,3226.14504,2535.11284
0.54458,3513.74668,3367.37216,3236.5352,2540.35428
0.54283,3524.83883,3364.19134,3242.7693,2542.10143
0.53497,3538.3959,3383.27624,3243.80831,2548.21645
0.54633,3549.48805,3392.81869,3251.08142,2548.21645
0.5507,3564.27759,3392.81869,3260.43257,2553.4579
0.53934,3579.06712,3403.95155,3268.7447,2557.82577
0.53409,3582.76451,3403.95155,3271.86175,2556.9522
0.54633,3596.32158,3410.31319,3278.09584,2565.68794
0.54371,3609.87865,3418.26523,3281.21289,2572.67653
0.54545,3619.73834,3426.21727,3287.44699,2578.79156
0.54545,3629.59803,3430.9885,3293.68109,2582.28585
0.53934,3630.83049,3426.21727,3294.7201,2586.65372
0.52972,0.19151,0.701,0.10136,2591.0216
0.53234,0.03242,0.10839,0.13104,0.23659
0.54545,0.06068,0.23636,0.14271,0.22106
0.53759,0.05726,0.39785,0.13698,0.24266
0.54545,0.06333,0.54514,0.13465,0.22567
0.54196,0.05802,0.58478,0.13189,0.20675
0.53409,0.073,0.4622,0.12871,0.19534
0.53322,0.07717,0.35111,0.1198,0.18855
0.53846,0.08077,0.38659,0.1162,0.17593
0.54808,0.09177,0.29826,0.11302,0.15603
0.54196,0.09443,0.31319,0.11005,0.14681
0.53846,0.09462,0.36188,0.10687,0.1388
0.53584,0.09291,0.3587,0.10369,0.13249
0.54021,0.08817,0.36335,0.09924,0.12521
