Epoch,Loss function,Learning accuracy,Learning rate
1,1.7830250787734985,0.295,0.001
2,1.2362152242660522,0.705,0.001
3,0.6407581174373627,0.74,0.001
4,0.3736905896663666,0.89,0.001
5,0.3103830575942993,0.945,0.001
6,0.16416493594646453,0.97,0.001
7,0.09180887892842293,0.98,0.001
8,0.07235297409817576,0.98,0.001
9,0.039901854395866396,0.98,0.001
10,0.05592592753469944,0.98,0.001
