Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
5.878e-07,3.815322860233655e-06,3.079183195104682e-06,1.909e-06,4.91546e-07,1.027e-06,1.0299e-06
5.989e-07,3.5643726670275864e-07,1.6505590036746706e-06,1.907e-06,4.95258e-07,1.023e-06,9.77526e-07
6.72e-07,2.996821845827044e-06,1.2214354665161795e-06,1.911e-06,4.95979e-07,1.063e-06,9.57216e-07
6.85e-07,1.3471985682828337e-06,2.8342144587488737e-06,1.902e-06,5.03196e-07,1.049e-06,9.44639e-07
8.893e-07,3.927872070557726e-06,3.912519750996364e-06,1.902e-06,5.03093e-07,1.063e-06,9.3701e-07
9.986e-07,3.1285386517833965e-07,3.2478443071085447e-06,1.903e-06,5.15361e-07,1.059e-06,9.47938e-07
1.03e-06,2.1381146955473387e-06,3.5326009979512273e-06,1.899e-06,5.21856e-07,1.045e-06,9.40825e-07
1.066e-06,3.191596261775818e-06,8.318890197071211e-07,1.899e-06,5.18144e-07,1.06e-06,9.44124e-07
1.09e-06,2.789373683109586e-07,1.6927098734953508e-06,1.894e-06,5.14639e-07,1.047e-06,9.43196e-07
1.123e-06,3.978572195142717e-06,6.396606713679529e-07,1.895e-06,5.21134e-07,1.062e-06,9.32887e-07
1.159e-06,1.0518811182787936e-06,1.3192306050357282e-06,1.894e-06,5.30825e-07,1.094e-06,9.49175e-07
1.176e-06,2.0865877222384463e-06,4.79571717874034e-07,1.894e-06,5.37629e-07,1.048e-06,9.30309e-07
1.176e-06,6.853934340658422e-07,5.082518453331839e-07,1.889e-06,5.50309e-07,1.047e-06,9.26907e-07
1.19e-06,2.7082406646517053e-06,1.3496118545087942e-06,1.876e-06,5.57629e-07,1.039e-06,9.20103e-07
1.176e-06,2.171194179216633e-06,1.0086630157426283e-06,1.86e-06,5.67629e-07,1.095e-06,9.13093e-07
1.157e-06,9.919781082958785e-07,1.5888720713584047e-07,1.87e-06,5.71031e-07,1.087e-06,9.08454e-07
1.15e-06,2.4868453828243305e-06,3.51265152685149e-06,1.876e-06,5.64124e-07,1.088e-06,9.22887e-07
1.15e-06,2.6435904440553808e-06,3.7847867248442046e-06,1.876e-06,5.74536e-07,1.083e-06,9.22887e-07
1.146e-06,3.259487986604206e-06,2.8564566973428596e-07,1.863e-06,5.77216e-07,1.086e-06,9.2299e-07
1.146e-06,7.303623337421512e-07,3.2264868840786887e-06,1.678e-05,5.79175e-07,1.094e-06,9.22268e-07
1.136e-06,6.754046700970124e-07,2.8945892376891553e-06,0.000207,5.73711e-07,1.114e-06,9.26804e-07
1.126e-06,3.5796783700404285e-07,1.1069709646003732e-06,0.0004719,5.74021e-07,1.093e-06,9.33608e-07
1.12e-06,3.030980383000692e-08,2.1870593781002853e-06,0.0004717,5.84639e-07,1.113e-06,9.30928e-07
1.115e-06,1.9238140826726945e-07,2.759286008785607e-06,0.0004706,5.95155e-07,1.121e-06,9.45979e-07
1.116e-06,2.303811472129546e-06,3.439742518519323e-06,0.0004667,6.04639e-07,1.125e-06,9.46907e-07
1.109e-06,4.608422545741333e-07,1.6628493393392233e-06,0.0002793,6.15464e-07,1.113e-06,9.45258e-07
1.091e-06,1.8678093210478863e-08,5.144342105064341e-07,8.72e-06,6.26598e-07,1.096e-06,9.4732e-07
1.081e-06,1.8055980177097082e-06,2.8571000123859673e-06,2.945e-07,6.20619e-07,1.092e-06,9.50412e-07
1.06e-06,3.6557568820018413e-06,1.944436142331116e-07,2.897e-07,6.30928e-07,1.104e-06,9.52371e-07
1.051e-06,3.927120078174504e-06,1.7692699768422945e-06,1.893e-07,2.51649e-06,1.115e-06,9.51959e-07
1.034e-06,8.261444664742558e-07,9.92699671764206e-07,1.788e-07,1.60309e-05,1.095e-06,9.48144e-07
1.031e-06,3.816086595292236e-06,3.19666066345305e-07,1.727e-07,0.000281856,1.104e-06,9.39072e-07
1.013e-06,5.136562159624533e-07,2.844772951949751e-06,1.094e-06,0.000477732,1.108e-06,9.38247e-07
9.922e-07,1.2223543901176837e-06,1.147303005351211e-06,1.467e-06,0.000475567,1.104e-06,9.34742e-07
9.927e-07,1.1029910419555024e-06,3.843553870103973e-06,4.648e-06,0.000472165,1.319e-06,9.25258e-07
9.793e-07,3.3380722646720927e-06,1.792427067189609e-06,4.503e-06,0.000468969,1.463e-05,9.20515e-07
9.516e-07,2.9996039047844036e-06,3.7830656509921504e-06,3.824e-06,0.000197113,0.0002094,9.15876e-07
9.467e-07,1.1175416581286912e-06,1.6491294909205008e-06,3.099e-06,9.23505e-06,0.0004707,9.15567e-07
9.415e-07,3.0206172515575556e-06,2.61427341210662e-06,1.577e-06,4.0268e-07,0.0004675,9.13918e-07
9.437e-07,4.88029615349935e-07,1.9159259375742296e-06,1.514e-06,3.84948e-07,0.0004657,9.08969e-07
9.224e-07,2.5492875676450497e-06,2.7006103429045804e-06,1.706e-06,2.75464e-07,0.0004622,9.16289e-07
9.242e-07,4.0624898302633425e-07,4.765982296773625e-07,1.666e-06,6.62062e-07,0.0002513,9.1732e-07
9.094e-07,6.287383268209972e-07,2.6955154515953923e-06,1.885e-06,1.03608e-06,1.034e-05,9.11959e-07
