Column_1,Column_2,Column_3,Column_4,Column_5
0.00523,0.00163,0.00364,0.02693,0.05367
0.00512,0.0014,0.00352,0.02579,0.05266
0.00512,0.00151,0.00352,0.02407,0.05246
0.00512,0.0014,0.00282,0.02378,0.05387
0.00512,0.00151,0.00294,0.02292,0.05327
0.00523,0.00163,0.00294,0.02235,0.05246
0.005,0.00128,0.00305,0.02149,0.05065
0.00512,0.00128,0.00364,0.02092,0.04864
0.00523,0.0014,0.00364,0.02006,0.05226
0.00523,0.0014,0.00364,0.01891,0.05206
0.00545,0.0014,0.00352,0.01862,0.05065
0.00545,0.00151,0.00352,0.01719,0.04884
0.00523,0.0014,0.00352,0.01547,0.04623
0.00512,0.0014,0.00305,0.01433,0.04362
0.00512,0.0014,0.00305,0.17393,0.36985
0.00534,0.00128,0.00341,2652.60745,2304.0201
0.00512,0.00151,0.00388,2560.91691,2256.1809
0.00523,0.00163,0.00388,2536.16046,2244.22111
0.00512,0.00151,0.00364,2522.40688,2230.85427
0.005,0.0014,0.00376,2520.57307,2230.15075
0.005,0.00151,0.00376,2525.15759,2221.00503
0.005,0.00151,0.00364,2534.32665,2226.63317
0.00489,0.0014,0.00352,2537.99427,2228.0402
0.00489,0.00128,0.00352,2533.40974,2225.22613
0.00478,0.0014,0.00364,2537.99427,2218.89447
0.00467,0.0014,0.00352,2537.07736,2210.45226
0.00478,0.00151,0.00364,2526.9914,2205.52764
0.00478,0.0014,0.00352,2525.15759,2194.97487
0.00478,0.00128,0.00364,2523.32378,2190.75377
0.00489,0.00128,0.00364,2526.0745,2192.1608
0.005,0.0014,0.00341,2527.90831,2190.75377
0.005,0.0014,0.00341,2523.32378,2189.34673
0.005,0.00151,0.00341,2519.65616,2190.05025
0.00489,0.0014,0.00352,2519.65616,2190.75377
0.00489,0.00151,0.00305,2522.40688,2189.34673
0.00478,0.0014,0.00352,2529.74212,2188.64322
0.00467,0.00128,0.00329,0.10458,0.11397
0.00478,0.00128,0.00317,0.10315,0.16563
0.00456,0.00128,0.00305,0.11662,0.15095
0.00467,0.00163,0.00294,0.13209,0.19055
0.00478,0.00163,0.00317,0.13696,0.18995
0.00478,0.00163,0.00364,0.13066,0.20824
0.00467,0.00174,0.00364,0.13266,0.21709
0.00456,0.00198,0.00352,0.13352,0.22111
0.00467,0.00186,0.00341,0.12923,0.21769
0.00445,0.00163,0.00294,0.12149,0.2203
0.00456,0.00174,0.00258,0.11461,0.21407
0.00478,0.00198,0.0027,0.10802,0.20985
0.00478,0.00186,0.0027,0.10287,0.20201
0.00478,0.00186,0.00294,0.09685,0.19759
