Epoch,Loss fuction,Learning accuracy,Learning rate
95,0.008705832374980673,1.0,6.25e-05
96,0.007902520205825568,0.995,6.25e-05
97,0.00837116031209007,1.0,6.25e-05
98,0.008161585471825675,0.995,6.25e-05
99,0.007661830487195403,0.995,6.25e-05
100,0.008063640582258813,0.995,3.125e-05
101,0.007751749374438077,1.0,3.125e-05
102,0.007780910367728211,1.0,3.125e-05
103,0.00833089028368704,1.0,3.125e-05
104,0.008251347342738882,0.995,3.125e-05
105,0.007586023165786173,1.0,3.125e-05
106,0.007400292676175013,1.0,3.125e-05
107,0.0076062330603599545,0.995,3.125e-05
108,0.007345804270589724,1.0,3.125e-05
109,0.008242198048974388,1.0,3.125e-05
110,0.007999516480485908,1.0,3.125e-05
111,0.00863994478044333,1.0,3.125e-05
112,0.008303220682428218,0.995,3.125e-05
113,0.007305490730796009,1.0,3.125e-05
114,0.007343927800829988,0.995,3.125e-05
115,0.0075034708890598266,0.995,3.125e-05
116,0.0072445040362072175,1.0,3.125e-05
117,0.00752812625374645,1.0,3.125e-05
118,0.006923186356434598,0.995,3.125e-05
119,0.007245610523386859,1.0,3.125e-05
120,0.007233133385598194,1.0,1.5625e-05
121,0.006968967892462387,0.995,1.5625e-05
122,0.006954567243810743,1.0,1.5625e-05
123,0.007022245234111324,1.0,1.5625e-05
124,0.007021132276277058,1.0,1.5625e-05
125,0.006923201003810391,1.0,1.5625e-05
126,0.007362430657958612,1.0,1.5625e-05
127,0.006924873231910169,1.0,1.5625e-05
128,0.006869533512508496,1.0,1.5625e-05
129,0.007065687591675669,0.995,1.5625e-05
130,0.00724735494935885,1.0,1.5625e-05
131,0.0070512356504332276,1.0,1.5625e-05
132,0.006839989897562191,1.0,1.5625e-05
133,0.006886188084754394,1.0,1.5625e-05
134,0.007084989537543151,0.995,1.5625e-05
135,0.006826576057355851,1.0,1.5625e-05
136,0.0069430441677104686,0.995,1.5625e-05
137,0.007072816234722268,1.0,1.5625e-05
138,0.0065950346607132814,0.995,1.5625e-05
139,0.00681693313526921,1.0,1.5625e-05
140,0.006664845779305324,1.0,7.8125e-06
141,0.006730173593969085,1.0,7.8125e-06
142,0.006668408419936895,0.995,7.8125e-06
143,0.006661833664402365,1.0,7.8125e-06
144,0.006653421001974493,1.0,7.8125e-06
145,0.006948550165107008,0.995,7.8125e-06
146,0.006968738602881786,1.0,7.8125e-06
147,0.006585494107566774,1.0,7.8125e-06
148,0.006866188958520069,0.995,7.8125e-06
149,0.0067053431883687155,1.0,7.8125e-06
150,0.00657093820918817,1.0,7.8125e-06
