Epoch,Loss fuction,Learning accuracy,Learning rate
90,0.006617994006810477,0.99,6.25e-05
91,0.0060592372034443545,0.99,6.25e-05
92,0.006329022441932466,0.99,6.25e-05
93,0.007381832774844952,0.99,6.25e-05
94,0.007936129933223129,0.985,6.25e-05
95,0.006980057753389701,0.99,6.25e-05
96,0.0064432406588457525,0.99,6.25e-05
97,0.0059150559484260155,0.99,6.25e-05
98,0.005926227923337138,0.99,6.25e-05
99,0.006469637084810529,0.99,6.25e-05
100,0.006186139433193603,0.99,3.125e-05
101,0.005972452888381667,0.99,3.125e-05
102,0.005811272388673388,0.99,3.125e-05
103,0.005650351583899465,0.99,3.125e-05
104,0.005784358100499958,0.99,3.125e-05
105,0.005680755657813279,0.99,3.125e-05
106,0.0058142907345609274,0.99,3.125e-05
107,0.006018485838721972,0.99,3.125e-05
108,0.005624503692088183,0.99,3.125e-05
109,0.005728643961774651,0.99,3.125e-05
110,0.005446237404976273,0.99,3.125e-05
111,0.005475317818345502,0.99,3.125e-05
112,0.005844763978238916,0.99,3.125e-05
113,0.005357315564178861,0.99,3.125e-05
114,0.005387361573521048,0.99,3.125e-05
115,0.005472728273016401,0.99,3.125e-05
116,0.005475580479251221,0.99,3.125e-05
117,0.0052467345606419255,0.99,3.125e-05
118,0.0052778342108649665,0.99,3.125e-05
119,0.005373209004974342,0.99,3.125e-05
120,0.005231969909746112,0.99,1.5625e-05
121,0.005280370342952665,0.99,1.5625e-05
122,0.0051905348282525665,0.99,1.5625e-05
123,0.00511674802415655,0.99,1.5625e-05
124,0.00520289599429816,0.99,1.5625e-05
125,0.00514569039172784,0.99,1.5625e-05
126,0.00521619859195198,0.99,1.5625e-05
127,0.0050061744300182905,0.99,1.5625e-05
128,0.005158150595379993,0.99,1.5625e-05
129,0.005184755647715065,0.99,1.5625e-05
130,0.005114795925328508,0.99,1.5625e-05
131,0.005662126603710931,0.99,1.5625e-05
132,0.005197054480086081,0.99,1.5625e-05
133,0.004952736805134919,0.99,1.5625e-05
134,0.004967568614811171,0.99,1.5625e-05
135,0.004982289329636842,0.99,1.5625e-05
136,0.005126199340702442,0.99,1.5625e-05
137,0.0050004907121183354,0.99,1.5625e-05
138,0.004964918644400313,0.99,1.5625e-05
139,0.004980989637697348,0.99,1.5625e-05
140,0.004905326584412251,0.99,7.8125e-06
141,0.004847247104080452,0.99,7.8125e-06
142,0.004911772226623725,0.99,7.8125e-06
143,0.004906697721271485,0.99,7.8125e-06
144,0.004881954510638025,0.99,7.8125e-06
145,0.004918416996224551,0.99,7.8125e-06
146,0.0048462420795112844,0.99,7.8125e-06
147,0.00485957548749866,0.99,7.8125e-06
148,0.004872314011445269,0.99,7.8125e-06
149,0.004911759704409633,0.99,7.8125e-06
150,0.004815320333582349,0.99,7.8125e-06
