Column_1,Column_2,Column_3,Column_4,Column_5
0.46154,0.05575,0.23342,0.0335,0.05994
0.45979,0.05328,0.21507,0.03287,0.05945
0.46503,0.05063,0.19697,0.03223,0.05848
0.45017,0.04968,0.18718,0.03138,0.05702
0.45804,0.04873,0.18008,0.03075,0.05484
0.4528,0.04892,0.16883,0.03011,0.05339
0.43969,0.04949,0.16491,0.03011,0.05241
0.4528,0.05044,0.16247,0.03011,0.05047
0.45542,0.05006,0.15366,0.02947,0.05072
0.44843,0.04892,0.1539,0.02884,0.04999
0.44056,0.04873,0.14118,0.0282,0.0495
0.43094,0.04702,0.14167,0.02884,0.04926
0.44231,0.04835,0.78322,0.02926,0.04829
0.44318,0.04892,2.6506,0.02947,0.04805
0.45105,0.0493,4.37803,0.02926,0.04756
0.4458,3231.51308,3283.0805,2805.34351,0.04708
0.43881,3253.69738,3297.39418,2960.15691,2326.32856
0.44143,3247.53508,3268.76682,2984.05428,2370.88085
0.43269,3250,3257.63396,2980.93723,2383.1109
0.42745,3259.85969,3292.62295,2957.03986,2375.24873
0.42657,3267.25446,3316.47908,2952.8838,2373.50158
0.41958,3284.50891,3362.60093,2939.37659,2377.86945
0.41696,3291.90368,3410.31319,2928.98643,2380.49017
0.42133,3304.22829,3426.21727,2932.10348,2380.49017
0.41521,3319.01782,3429.39809,2930.02545,2384.85804
0.41171,3328.87751,3423.03646,2935.22053,2388.35234
0.40997,3343.66705,3426.21727,2942.49364,2391.84664
0.41696,3349.82935,3424.62687,2950.80577,2394.46736
0.40122,3352.29427,3410.31319,2952.8838,2399.70881
0.39073,3359.68904,3392.81869,2954.96183,2399.70881
0.39073,3369.54873,3383.27624,2968.46904,2405.82383
0.38899,3383.1058,3384.86665,2980.93723,2410.1917
0.38986,3389.26811,3388.04747,2986.13232,2411.06528
0.36976,3396.66287,3384.86665,2988.21035,2415.43315
0.3479,3401.59272,3378.50502,2993.40543,2418.05387
0.35664,3406.1989,3179.70394,2998.60051,2416.30672
0.38024,0.06883,0.07463,0.06573,2418.05387
0.39685,0.07622,0.17494,0.07952,0.13735
0.41084,0.09329,0.29361,0.10178,0.18369
0.42483,0.0895,0.2897,0.09924,0.19437
0.41696,0.09101,0.32885,0.10496,0.19243
0.40559,0.09556,0.30487,0.10793,0.18539
0.40647,0.09879,0.15562,0.10581,0.17835
0.40909,0.09462,0.1473,0.10115,0.17156
0.40647,0.09139,0.19476,0.09881,0.16404
0.38287,0.0857,0.24933,0.09521,0.15627
0.38899,0.08495,0.2897,0.09203,0.14924
0.38549,0.0876,0.32175,0.08969,0.14099
0.38549,0.08817,0.34255,0.08736,0.13371
0.38287,0.084,0.3264,0.08439,0.12715
