Column_1,Column_2,Column_3,Column_4,Column_5
0.39773,0.04418,0.28848,0.02693,0.03785
0.39336,0.04399,0.26768,0.02545,0.03688
0.3951,0.04342,0.27135,0.02566,0.03785
0.39073,0.04418,0.26841,0.02502,0.03713
0.40385,0.04361,0.24761,0.02396,0.0364
0.39773,0.04323,0.23881,0.02354,0.03494
0.39773,0.04304,0.22853,0.02269,0.03373
0.38549,0.04323,0.2459,0.0229,0.033
0.3986,0.04323,0.2437,0.02269,0.03252
0.39248,0.0438,0.24541,0.02248,0.03203
0.39073,0.04323,0.23367,0.02163,0.03203
0.3951,0.0438,0.23832,0.02014,0.03227
0.38811,0.04399,0.36775,0.01972,0.03203
0.39423,0.04551,2.23954,0.01993,0.03106
0.3951,0.04797,3.57548,0.02036,0.03106
0.40297,3346.13197,3446.89259,2714.94911,0.03203
0.38199,3423.77702,3402.36115,2842.74809,2706.33341
0.38549,3395.43041,3375.3242,2852.09924,2599.75734
0.38112,3394.19795,3400.77074,2862.4894,2593.64232
0.38899,3405.2901,3440.53095,2865.60645,2595.38947
0.39685,3388.03565,3459.61586,2872.87956,2606.74594
0.38811,3384.33826,3473.92953,2867.68448,2611.11381
0.38636,3381.87334,3478.70076,2866.64546,2618.1024
0.37762,3388.03565,3491.42403,2864.56743,2625.96457
0.38724,3402.82518,3513.68975,2870.80153,2628.58529
0.38287,3410.21995,3523.2322,2873.91858,2626.83815
0.38199,3413.91733,3529.59383,2881.19169,2629.45887
0.38112,3421.3121,3548.67874,2888.4648,2632.95317
0.39161,3428.70686,3556.63078,2892.62087,2634.70032
0.39073,3436.10163,3569.35405,2894.6989,2639.06819
0.38899,3445.96132,3578.8965,2901.97201,2645.18321
0.38374,3453.35609,3572.53487,2906.12807,2647.80393
0.38199,3460.75085,3572.53487,2911.32316,2654.79253
0.38462,3470.61054,3572.53487,2915.47922,2652.1718
0.38462,3475.54039,3575.71568,2915.47922,2653.91895
0.38811,3486.63254,3590.02936,2920.6743,2653.91895
0.36364,0.0402,0.10007,0.10539,2658.28682
0.38549,0.04304,0.4321,0.12256,0.2298
0.36888,0.04892,0.29753,0.13041,0.24048
0.38636,0.05119,0.55346,0.13338,0.22155
0.37937,0.05404,0.63567,0.12892,0.20116
0.39073,0.06143,0.56937,0.12786,0.18321
0.37325,0.05575,0.49205,0.12235,0.16549
0.38112,0.05688,0.49963,0.11514,0.14705
0.38811,0.05366,0.41522,0.11005,0.13395
0.38199,0.06068,0.36726,0.10539,0.12837
0.38374,0.06485,0.3795,0.09966,0.12254
0.37762,0.05859,0.36653,0.09309,0.11526
0.39336,0.05992,0.40225,0.08736,0.11065
0.38112,0.05707,0.37803,0.08249,0.10628
