Column_1,Column_2,Column_3,Column_4,Column_5
0.43619,0.04551,0.29655,0.03478,0.00898
0.43881,0.04854,0.28921,0.03414,0.00801
0.44143,0.04702,0.28407,0.03308,0.00679
0.44056,0.04778,0.28162,0.03181,0.0051
0.4458,0.04721,0.28162,0.03159,0.00388
0.44318,0.04778,0.27575,0.03096,0.00364
0.4458,0.05063,0.27184,0.02969,0.00413
0.45105,0.051,0.26939,0.02969,0.00364
0.45105,0.05025,0.26058,0.02926,0.0034
0.44668,0.04645,0.25422,0.02841,0.00291
0.45629,0.04702,0.24957,0.02884,0.00315
0.46241,0.04475,0.25202,0.02778,0.0034
0.4493,0.04418,0.25544,0.0282,0.00315
0.45979,0.0474,1.30511,0.02735,0.00315
0.45542,0.04513,2.66773,0.02757,0.00291
0.45455,3323.94767,3333.97357,2877.03562,0.0034
0.45717,3439.79901,3481.88158,2865.60645,2437.27251
0.45979,3415.14979,3539.13629,2859.37235,2448.62897
0.46329,3422.54456,3553.44996,2860.41137,2407.57098
0.47552,3454.58855,3515.28016,2893.65988,2408.44455
0.47552,3473.07546,3494.60484,2906.12807,2415.43315
0.47203,3478.00531,3496.19525,2906.12807,2416.30672
0.48339,3494.0273,3499.37607,2908.20611,2418.05387
0.47727,3512.51422,3521.64179,2917.55725,2419.80102
0.46853,3534.69852,3515.28016,2923.79135,2422.42174
0.47465,3548.25559,3516.87057,2926.9084,2425.04247
0.46678,3558.11528,3496.19525,2927.94741,2427.66319
0.49038,3575.36974,3528.00343,2926.9084,2428.53676
0.49476,3588.92681,3540.72669,2934.18151,2430.28391
0.48164,3613.57603,3542.3171,2933.14249,2436.39893
0.49126,3618.50588,3535.95547,2933.14249,2439.89323
0.49825,3623.43572,3537.54588,2940.41561,2448.62897
0.48339,3619.73834,3539.13629,2943.53265,2449.50255
0.49038,3623.43572,3537.54588,2948.72774,2451.2497
0.49913,3622.20326,3537.54588,2952.8838,2453.87042
0.49038,3628.36557,3515.28016,2957.03986,2456.49114
0.48339,0.01327,1.7771,0.07591,2459.11187
0.49301,0.05916,0.13898,0.11238,0.18733
0.48514,0.05954,0.28065,0.11853,0.22106
0.48951,0.05214,0.36775,0.11705,0.21961
0.49388,0.05063,0.43846,0.10645,0.20238
0.49038,0.0529,0.59237,0.10666,0.18709
0.4965,0.05423,0.40176,0.10581,0.17714
0.49038,0.05385,0.4113,0.09839,0.16646
0.49213,0.06049,0.32493,0.095,0.15506
0.49738,0.06617,0.37264,0.09224,0.14584
0.5,0.06845,0.40617,0.08885,0.13686
0.50087,0.06655,0.44629,0.08376,0.12861
0.49913,0.06788,0.39051,0.07994,0.11793
0.50699,0.06143,0.38023,0.07591,0.10944
