Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
9.65368e-07,1.869e-06,8.254e-07,1.38316e-06,1.7666509022875755e-06,8.789e-07,2.9684084279244594e-06
9.24105e-07,1.872e-06,8.212e-07,1.38421e-06,2.673370693763504e-06,8.59e-07,1.4548210751269875e-06
9.04211e-07,1.842e-06,8.221e-07,1.37474e-06,2.26270708729647e-06,8.412e-07,1.2176611161011846e-06
8.95474e-07,1.85e-06,8.321e-07,1.38211e-06,2.484781755298071e-07,8.333e-07,2.9108371735966223e-06
8.93579e-07,1.82e-06,8.188e-07,1.35684e-06,3.847216877993064e-06,8.369e-07,7.592986272497373e-07
8.78842e-07,1.84e-06,8.162e-07,1.35579e-06,1.6210490243752784e-06,8.481e-07,2.4285215480306503e-06
8.81263e-07,1.871e-06,8.245e-07,1.37053e-06,9.027054452455311e-07,8.344e-07,2.6106468391260578e-06
8.48632e-07,1.875e-06,8.235e-07,1.38105e-06,1.2145992546516826e-06,8.683e-07,3.8001664104629886e-06
8.57263e-07,1.865e-06,8.35e-07,1.35158e-06,2.4408708633611107e-07,8.774e-07,3.874123363395483e-06
8.35158e-07,1.862e-06,8.167e-07,1.32421e-06,1.6252222126977339e-06,8.649e-07,3.7158261469662616e-06
7.99579e-07,1.875e-06,7.972e-07,1.33053e-06,3.849150515356568e-06,8.642e-07,2.950598386299463e-06
7.77368e-07,1.874e-06,8.027e-07,1.32e-06,3.923273723894765e-06,8.585e-07,2.7550725865742244e-06
7.39368e-07,1.838e-06,8.13e-07,1.31368e-06,1.3379079953748007e-07,8.548e-07,3.2665588908217477e-06
7.27579e-07,1.822e-06,8.05e-07,1.31053e-06,2.432549724564573e-06,8.648e-07,2.333701643653635e-06
7.17579e-07,1.835e-06,8.148e-07,1.30105e-06,1.6431573896380546e-06,8.667e-07,2.4862378649119544e-06
7.15789e-07,1.847e-06,8.075e-07,1.29474e-06,1.2481499537993041e-06,8.781e-07,3.8496921032032e-06
7.10737e-07,1.857e-06,7.89e-07,1.28316e-06,3.1426152968600758e-06,8.904e-07,3.2168535832414513e-06
7.09053e-07,1.87e-06,8.083e-07,1.29158e-06,3.566799449070765e-06,8.975e-07,2.162685794520479e-06
7.12737e-07,1.86e-06,1.105e-05,1.27789e-06,1.1138365776408277e-06,8.781e-07,3.926694136470579e-06
7.18737e-07,1.845e-06,6.824e-05,1.27474e-06,7.467922660766412e-07,8.693e-07,1.3714126674687387e-06
7.09474e-07,1.206e-05,0.0004367,1.27895e-06,3.3825767932110412e-06,8.742e-07,2.2516457190506904e-06
6.90211e-07,8.765e-05,0.0004503,1.27474e-06,1.0219431536914286e-06,8.855e-07,2.943623735946077e-06
6.80526e-07,0.0004656,0.000447,1.25895e-06,1.0582310778604494e-06,8.701e-07,1.3003151321328587e-06
6.83789e-07,0.000475,0.0004444,1.27053e-06,1.5261119572021018e-06,8.899e-07,1.1973167631273161e-06
6.82105e-07,0.0004719,0.000403,1.26421e-06,5.710630291712752e-07,8.696e-07,1.6018695159107685e-06
6.78947e-07,0.0004665,2.417e-05,1.25789e-06,1.917556528270138e-06,8.582e-07,2.55669074588829e-07
6.75158e-07,0.0003919,7.551e-07,1.26421e-06,1.4424130196314544e-06,8.619e-07,3.2437315623245596e-06
6.64632e-07,1.475e-05,5.179e-07,1.25895e-06,3.8069546608290555e-06,8.636e-07,3.227372867415295e-06
6.58526e-07,3.321e-07,2.24e-07,1.27158e-06,8.314823148697932e-07,8.589e-07,1.183717078570627e-06
6.57368e-07,2.816e-07,2.51e-07,1.25789e-06,5.3265137490129e-07,8.554e-07,2.19858836272711e-06
6.63895e-07,1.971e-07,1.109e-06,3.12105e-06,3.7764947480216857e-07,8.563e-07,1.7783875066827073e-06
6.71579e-07,1.841e-07,3.003e-06,1.38526e-05,2.6545749576032696e-06,8.571e-07,1.163295843446344e-06
6.71263e-07,1.772e-07,3.974e-06,0.000295579,3.369622562839896e-06,8.579e-07,2.9636682497515444e-06
6.70211e-07,2.247e-07,4.144e-06,0.000462842,2.2435555556694222e-06,8.708e-07,1.6953171558247142e-06
6.68526e-07,1.167e-06,4.277e-06,0.000470316,2.9165953068376237e-07,8.6e-07,2.5924058507941635e-06
7.08421e-07,1.978e-06,4.937e-06,0.000472842,2.418734130463968e-06,8.726e-07,3.378903318878024e-08
1.34e-05,2.66e-06,5.614e-06,0.000474,1.605927100487086e-06,8.768e-07,2.434686320434165e-06
0.000117789,3.706e-06,1.743e-06,0.000256526,1.015955218367603e-06,8.689e-07,3.08744258249118e-06
0.000486947,3.721e-06,1.185e-06,9.68737e-06,2.9228067111943374e-06,8.77e-07,1.3925154403138724e-06
0.000489579,1.589e-06,1.588e-06,5.52421e-07,2.313220103799373e-06,8.702e-07,3.884970870168754e-06
0.000487579,6.474e-07,1.534e-06,3.71158e-07,1.2510583083373588e-06,8.695e-07,9.122649015939141e-07
0.000485263,1.421e-06,6.83e-07,2.88316e-07,3.747874226384938e-06,1.431e-06,8.777869068353494e-08
0.000355684,1.574e-06,5.776e-07,2.31053e-07,3.1289683959129552e-06,1.68e-05,1.8553343631812685e-06
