Column_1,Column_2,Column_3,Column_4,Column_5
0.09376,0.00815,0.00548,0.14756,0.08954
0.09291,0.00805,0.00538,0.14727,0.08756
0.0915,0.00784,0.00548,0.14611,0.08586
0.09065,0.00774,0.00548,0.14494,0.08473
0.09093,0.00774,0.00548,0.14377,0.08444
0.09065,0.00784,0.00538,0.14348,0.08274
0.08981,0.00784,0.00548,0.14202,0.08218
0.09009,0.00774,0.00538,0.13998,0.08161
0.09037,0.00784,0.00538,0.13911,0.08048
0.09037,0.00784,0.00548,0.13852,0.08019
0.08981,0.00784,0.00559,0.13823,0.07963
0.08896,0.00764,0.00538,0.13823,0.07878
0.08811,0.00774,0.00548,0.13765,0.07793
0.08755,0.00764,0.00538,0.13677,0.07736
0.1268,0.00774,0.00548,0.21522,0.07679
2526.40497,0.00764,0.00548,3388.97638,3015.01842
2693.30698,0.00774,0.00559,3415.2231,2912.86483
2686.52923,0.00774,0.00538,3402.62467,2866.25106
2672.97374,0.00784,0.00538,3356.43045,2818.64551
2656.87659,0.00774,0.00538,3327.03412,2797.81808
2651.79328,0.00784,0.00559,3328.08399,2808.72768
2645.86275,0.00774,0.00559,3327.03412,2795.83451
2644.16831,0.00774,0.00548,3318.63517,2792.85917
2648.40441,0.00774,0.00538,3307.08661,2794.84273
2656.87659,0.00764,0.00538,3303.93701,2792.85917
2656.87659,0.00784,0.00528,3301.83727,2794.84273
2655.18215,0.00764,0.00517,3296.58793,2805.75234
2656.87659,0.00774,0.00528,3296.58793,2812.69481
2657.72381,0.00774,0.00538,3294.48819,2821.62086
2658.57103,0.00764,0.00528,3294.48819,2816.66194
2666.19599,0.00754,0.00528,3292.38845,2811.70303
2667.89043,0.00754,0.00528,3287.13911,2809.71947
2671.2793,0.00743,0.00528,3287.13911,2814.67838
2677.20983,0.00754,0.00528,3285.03937,2819.63729
2679.75148,0.00754,0.00517,3285.03937,2817.65373
2685.68201,0.00754,0.00528,3285.03937,2818.64551
0.58063,0.00733,0.00497,0.51152,0.4446
0.13188,0.00723,0.00528,0.13619,0.1227
0.16577,0.00733,0.00517,0.18723,0.13602
0.15956,0.00733,0.00517,0.19452,0.15415
0.16634,0.00713,0.00528,0.20122,0.1499
0.16634,0.00733,0.00517,0.20006,0.15018
0.16747,0.00733,0.00517,0.21406,0.15472
0.17001,0.00733,0.00497,0.21726,0.15528
0.17227,0.00733,0.00497,0.22776,0.15925
0.17763,0.00743,0.00476,0.2301,0.1567
0.18215,0.00733,0.00497,0.23447,0.15642
0.18243,0.00733,0.00497,0.22805,0.1584
0.183,0.00723,0.00507,0.22485,0.15415
0.18018,0.00723,0.00507,0.21901,0.14848
