Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
1.264e-06,1.601e-06,9.356e-07,4.982e-07,7.997e-07,2.856481022681878e-07,2.732602207138035e-06
1.29e-06,1.604e-06,9.086e-07,5.101e-07,6.84e-07,3.8359289654098165e-06,1.5548582588217563e-06
1.348e-06,1.589e-06,9.156e-07,5.26e-07,5.91e-07,1.0313020244722547e-06,1.2768324053140412e-06
1.377e-06,1.595e-06,9.336e-07,5.395e-07,5.677e-07,5.531865412663102e-07,3.3842538314775456e-06
1.4e-06,1.636e-06,9.126e-07,5.323e-07,5.81e-07,3.850429145698407e-06,2.998474393474043e-06
1.407e-06,1.622e-06,9.148e-07,5.382e-07,5.34e-07,2.9414064991334016e-06,1.1640305836833441e-06
1.425e-06,1.594e-06,9.007e-07,5.297e-07,5.149e-07,3.2072365929535145e-06,2.827121663689132e-06
1.423e-06,1.608e-06,9.064e-07,5.316e-07,5.152e-07,3.6778625933649083e-06,7.005798841342616e-07
1.442e-06,1.599e-06,9.134e-07,5.308e-07,5.113e-07,1.4070483512099763e-06,2.0064048555303463e-06
1.445e-06,1.591e-06,9.465e-07,5.37e-07,4.741e-07,3.4493974241322167e-06,3.4074614932406018e-06
1.434e-06,1.583e-06,8.957e-07,5.419e-07,4.495e-07,1.4609379680737962e-06,3.9419740763577503e-07
1.455e-06,1.579e-06,9.295e-07,5.403e-07,4.376e-07,4.3366291021155543e-07,3.418565528011082e-06
1.472e-06,1.592e-06,9.297e-07,5.465e-07,4.053e-07,1.430250539935817e-06,1.0034325466925895e-06
1.472e-06,1.585e-06,9.2e-07,5.465e-07,4.175e-07,2.456995004352084e-06,4.7477716485830654e-07
1.486e-06,1.591e-06,9.054e-07,5.615e-07,4.244e-07,1.938956319273092e-06,3.5717766940125033e-06
1.476e-06,1.583e-06,9.623e-07,5.761e-07,4.634e-07,1.9702257578345747e-06,3.319803162160126e-06
