Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
8.972e-07,1.87e-06,1.684e-06,8.741e-07,8.455e-07,9.588271177531381e-07,2.0086818713890307e-06
8.937e-07,1.887e-06,1.702e-06,8.82e-07,8.89e-07,1.9862331218188203e-06,2.051532008147623e-06
8.993e-07,1.872e-06,1.686e-06,8.953e-07,9.403e-07,8.19048733291988e-07,1.5975633715407657e-06
9.013e-07,1.916e-06,1.654e-06,8.97e-07,9.483e-07,2.5258977214924035e-06,2.822188443388352e-06
9.004e-07,1.847e-06,1.643e-06,8.906e-07,9.082e-07,3.2801076774436335e-06,3.438353935883832e-06
8.953e-07,1.837e-06,1.71e-06,8.755e-07,9.015e-07,4.056074650081767e-07,3.530426060325227e-06
8.951e-07,1.829e-06,1.692e-06,8.609e-07,9.459e-07,2.542875817425702e-06,3.0950581592617143e-06
8.949e-07,1.781e-06,1.696e-06,8.53e-07,9.511e-07,6.467457071299969e-07,2.3789455163738453e-06
8.961e-07,1.798e-06,1.717e-06,8.838e-07,9.141e-07,3.1161287437884046e-06,1.709826166689843e-07
8.953e-07,1.799e-06,1.692e-06,8.648e-07,9.209e-07,3.988778992829652e-06,2.3070435904519336e-06
8.956e-07,1.8e-06,1.76e-06,8.698e-07,8.208e-07,3.0763496877323028e-06,1.5515565382731844e-06
8.915e-07,1.73e-06,1.802e-06,8.644e-07,7.615e-07,1.7574159116727935e-06,3.6760302494823556e-06
8.928e-07,1.744e-06,1.813e-06,8.624e-07,7.529e-07,2.963536672070237e-07,1.0462120218339513e-06
8.926e-07,1.741e-06,1.788e-06,8.678e-07,7.535e-07,2.3111366420490325e-06,6.576518714513648e-07
8.916e-07,1.738e-06,1.773e-06,8.828e-07,7.645e-07,3.723745558645696e-06,2.371182941016468e-06
8.875e-07,1.761e-06,1.766e-06,8.748e-07,7.494e-07,1.7606660100987578e-06,7.197351939583804e-07
8.901e-07,1.746e-06,1.802e-06,8.81e-07,7.605e-07,9.543281919141368e-07,2.585547998466873e-06
8.951e-07,1.705e-06,1.793e-06,8.875e-07,7.532e-07,1.1390661440412169e-06,2.151987356856751e-06
1.67e-06,1.697e-06,1.822e-06,8.662e-07,7.668e-07,3.65453447670672e-06,2.1395803192869317e-06
1.383e-05,1.691e-06,1.83e-06,8.882e-07,7.642e-07,2.5625457113190065e-07,3.0655840984153566e-06
0.0002004,1.666e-06,1.844e-06,8.864e-07,7.578e-07,1.2577473611485706e-06,1.0798000050351387e-06
0.0004518,1.664e-06,1.881e-06,8.772e-07,7.573e-07,2.7182802306418184e-06,2.607647765130459e-06
