Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
8.847e-07,1.447e-06,7.895e-07,9.452e-07,6.412e-07,9.286502543089865e-07,1.3441699710235952e-06
8.88e-07,1.434e-06,7.887e-07,9.605e-07,6.873e-07,4.6721634943559073e-07,2.9013604462257992e-06
8.931e-07,1.459e-06,7.924e-07,9.587e-07,6.51e-07,3.3706164967353924e-06,5.507531743545257e-08
8.871e-07,1.451e-06,7.911e-07,9.467e-07,6.27e-07,3.1579405058513403e-06,4.605180313274912e-07
8.903e-07,1.464e-06,7.881e-07,9.527e-07,6.567e-07,1.0918060521715627e-06,3.2492733067975094e-06
8.893e-07,1.423e-06,7.881e-07,9.538e-07,6.906e-07,3.5558165381062878e-06,1.0602901627435566e-06
8.786e-07,1.422e-06,7.827e-07,9.531e-07,8.484e-07,5.221773013605775e-07,3.7146581384565768e-06
8.89e-07,1.414e-06,7.909e-07,9.559e-07,9.105e-07,3.5147666131372186e-06,1.0804330380993115e-06
8.97e-07,1.41e-06,7.813e-07,9.477e-07,8.596e-07,2.6698668111488733e-06,3.283229387716045e-06
8.907e-07,1.386e-06,7.886e-07,9.386e-07,8.652e-07,1.4617783632043472e-06,1.2695739038764415e-06
8.984e-07,1.388e-06,7.837e-07,9.291e-07,1.059e-06,2.1125281828007448e-06,1.6747152902093715e-06
9.111e-07,1.408e-06,7.856e-07,9.276e-07,1.096e-06,2.0166846184554263e-06,1.989183134644107e-06
9.001e-07,1.41e-06,7.897e-07,9.266e-07,1.122e-06,5.43035567266517e-07,2.161352840079232e-06
8.986e-07,1.418e-06,7.824e-07,9.192e-07,1.111e-06,1.2824796519414456e-06,2.6401751243333622e-06
9.022e-07,1.428e-06,7.823e-07,9.026e-07,1.096e-06,3.6012376180684862e-06,7.415813254386445e-07
9.127e-07,1.425e-06,7.777e-07,9.076e-07,1.136e-06,3.549396818131765e-06,3.0990856799187745e-06
9.152e-07,1.45e-06,7.909e-07,9.152e-07,1.233e-06,2.9262879858967823e-06,1.0811239435580156e-06
9.153e-07,1.456e-06,7.969e-07,9.088e-07,1.118e-06,3.860760527465743e-06,3.817858196773065e-06
6.183e-06,1.434e-06,8.014e-07,9.19e-07,1.169e-06,2.2470722809548643e-06,2.8810476776091976e-06
2.036e-05,1.417e-06,7.923e-07,9.101e-07,1.099e-06,3.229766786532705e-06,3.2469534107726946e-06
0.0003951,1.399e-06,7.994e-07,9.058e-07,1.073e-06,3.0000312495637053e-06,5.225851669853152e-07
0.000447,1.4e-06,7.979e-07,9.073e-07,1.07e-06,1.1390447288128667e-06,2.299073829829254e-06
0.000446,1.389e-06,7.956e-07,9.226e-07,1.001e-06,3.2182645057874896e-06,3.3154508326915548e-06
0.000446,4.63e-06,8.043e-07,9.154e-07,1.047e-06,1.8577782823772696e-06,2.1062280068555384e-06
0.0004416,1.426e-05,8.154e-07,9.164e-07,1.111e-06,3.3019280500919505e-06,1.5306633984849819e-06
8.499e-05,0.0003634,8.097e-07,9.188e-07,1.071e-06,2.4004251060221615e-06,1.5860941183181998e-06
3.288e-06,0.0004751,8.07e-07,9.343e-07,1.022e-06,1.1721775842098511e-06,2.158804009752453e-07
4.49e-07,0.0004708,8.056e-07,9.19e-07,1.041e-06,1.7233449363452964e-06,2.553638439081812e-06
2.421e-07,0.0004654,8.124e-07,9.133e-07,1.066e-06,3.986834240331074e-07,2.041636855435885e-06
2.997e-07,0.0004606,8.928e-07,9.016e-07,1.023e-06,2.5644561794035457e-06,3.423627022212917e-06
6.678e-07,0.0001096,1.185e-05,8.929e-07,1.014e-06,2.5733085471231516e-06,2.289229173415599e-06
1.328e-06,4.385e-06,9.362e-05,9.027e-07,1.039e-06,1.3483846136546096e-06,3.199686900636236e-06
3.275e-06,3.624e-07,0.0004802,8.931e-07,1.024e-06,6.515310279898156e-07,2.3620578459306077e-06
3.218e-06,2.901e-07,0.0004876,9.034e-07,1.057e-06,3.7644710195727587e-06,3.4781987475157315e-06
4.098e-06,2.383e-07,0.0004822,9.063e-07,1.046e-06,3.2994208925467607e-06,2.2169692899802107e-06
4.502e-06,7.213e-07,0.0004787,8.976e-07,1.051e-06,3.0139270200285935e-06,1.58086937636769e-06
5.017e-06,6.522e-07,0.000433,9.197e-07,1.048e-06,1.1125013531481898e-06,2.6246143084896313e-06
3.451e-06,1.54e-06,1.926e-05,9.092e-07,1.094e-06,3.522700969151986e-06,3.203400567784904e-06
8.686e-07,2.195e-06,3.201e-07,9.105e-07,1.069e-06,3.4360180662481903e-06,2.9733348491995416e-06
8.812e-07,5.148e-06,2.118e-07,9.219e-07,1.04e-06,1.622751454394013e-06,1.0752266865502594e-06
7.682e-07,3.687e-06,1.911e-07,9.714e-06,1.047e-06,1.9158771636008733e-06,2.495560145975028e-06
1.066e-06,4.417e-06,1.786e-07,5.174e-05,1.054e-06,2.5068451177688738e-06,3.2802901705104596e-06
1.162e-06,2.783e-06,1.738e-07,0.0004469,1.044e-06,2.930620220333402e-06,1.6829972364032279e-06
1.11e-06,1.421e-06,1.709e-07,0.0004642,1.045e-06,1.3115380965717343e-06,2.9804961973658006e-07
1.042e-06,1.751e-06,5.614e-07,0.0004628,1.049e-06,1.568701490810262e-06,2.387159284803734e-06
1.03e-06,1.701e-06,3.67e-06,0.0004603,1.028e-06,3.034001516547977e-06,3.937592409287026e-06
1.017e-06,2.03e-06,5.02e-06,0.0004172,1.245e-06,2.6353880488528627e-06,4.4026530474835024e-07
1.071e-06,1.801e-06,6.385e-06,2.379e-05,1.158e-05,8.737802243729513e-07,1.27135983654723e-06
1.107e-06,1.771e-06,2.651e-06,6.58e-07,0.0001321,2.725904005094003e-06,3.927941529758305e-06
1.142e-06,1.799e-06,1.151e-06,3.926e-07,0.0004141,1.4796721973715225e-06,1.5834976169720804e-06
1.15e-06,1.821e-06,1.055e-06,3.089e-07,0.0004244,2.011809122255426e-06,2.9744530138195812e-06
1.171e-06,1.806e-06,1.059e-06,2.917e-07,0.0004322,3.4133570144231657e-06,2.431405774346485e-06
1.208e-06,1.807e-06,8.977e-07,4.897e-07,0.0004323,3.4981971494770112e-06,2.1863310340161985e-06
1.221e-06,1.861e-06,1.034e-06,1.484e-06,0.0002958,2.4528314045827066e-06,6.674292252284472e-07
1.226e-06,1.891e-06,9.537e-07,1.776e-06,1.03e-05,3.2975196970737986e-06,1.1007959110532348e-06
1.228e-06,1.925e-06,8.294e-07,3.721e-06,3.699e-07,2.854851366385187e-07,3.7416531910230904e-06
1.221e-06,1.925e-06,7.151e-07,5.788e-06,2.967e-07,5.631298386746848e-07,3.5657558083052554e-06
1.215e-06,1.94e-06,6.561e-07,5.314e-06,2.476e-07,3.0228056605327353e-06,3.5889530420494764e-06
1.211e-06,1.933e-06,6.266e-07,4.73e-06,2.178e-07,1.7319574063485165e-06,3.3503860974061404e-06
1.202e-06,1.919e-06,6.272e-07,1.535e-06,2.138e-07,1.7060080094248393e-06,6.743127540130204e-07
1.205e-06,1.956e-06,6.287e-07,1.05e-06,2.1e-07,3.896778164072628e-06,3.0650898629102554e-06
1.197e-06,1.977e-06,6.373e-07,1.683e-06,1.502e-06,3.270790055454562e-06,3.9272829734099475e-06
1.192e-06,1.958e-06,6.347e-07,1.245e-06,2.09e-06,1.1216484359467387e-06,3.770851183160672e-06
1.179e-06,1.957e-06,6.188e-07,1.113e-06,1.73e-06,1.356937670966697e-06,1.986996075229725e-06
1.18e-06,1.988e-06,6.422e-07,9.064e-07,3.441e-06,2.1624155914333619e-07,7.8162149851951e-07
1.176e-06,1.997e-06,6.305e-07,9.927e-07,2.091e-06,2.747001787273881e-06,6.887274681349798e-08
1.179e-06,2.003e-06,6.284e-07,1.067e-06,6.587e-07,3.7573112195394953e-06,3.167452320474109e-06
1.174e-06,1.989e-06,6.495e-07,1.077e-06,6.223e-07,2.1532735101143177e-06,3.4051984198373547e-06
1.179e-06,1.955e-06,6.588e-07,1.066e-06,5.403e-07,1.1909185532891753e-06,3.845316916286982e-06
1.172e-06,1.956e-06,6.816e-07,1.047e-06,5.81e-07,2.7737793239809345e-06,3.5582411911740654e-06
1.171e-06,1.962e-06,6.976e-07,1.047e-06,5.773e-07,2.353452565350508e-06,2.1262458100311183e-06
1.167e-06,1.915e-06,7.092e-07,1.036e-06,5.896e-07,2.1145013072572592e-07,1.123833033421691e-06
1.171e-06,1.871e-06,7.516e-07,1.025e-06,6.405e-07,3.4178762793810818e-06,1.2043196078123314e-06
1.167e-06,1.871e-06,7.775e-07,9.792e-07,6.509e-07,1.8412297909074619e-06,2.7311984999874505e-07
1.16e-06,1.852e-06,8.33e-07,9.415e-07,6.188e-07,2.901897537865135e-06,6.621664062085642e-07
1.157e-06,1.859e-06,8.731e-07,8.861e-07,6.069e-07,1.5179284114098049e-06,6.584908688279131e-07
1.151e-06,1.868e-06,9.073e-07,8.431e-07,6.159e-07,1.4490908978592704e-06,1.7243788854198703e-06
1.156e-06,1.88e-06,9.046e-07,7.908e-07,6.134e-07,2.0038030247282384e-06,5.826352270838852e-07
1.157e-06,1.865e-06,9.066e-07,7.033e-07,6.429e-07,5.556313516524427e-07,3.604994559532802e-06
1.157e-06,1.871e-06,9.044e-07,6.211e-07,6.825e-07,2.7807797164368156e-06,5.082816787421476e-07
