Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7
4.5297923290804266e-07,4.776e-07,1.73505e-06,1.401e-06,6.588e-07,8.31443e-07,3.962931198178443e-06
3.2399953867959055e-06,4.891e-07,1.72268e-06,1.386e-06,6.577e-07,8.63299e-07,2.2054973451134563e-07
3.36470443443893e-06,4.878e-07,1.70825e-06,1.373e-06,6.478e-07,8.40206e-07,3.298588506175548e-06
2.80240696887194e-06,4.851e-07,1.71753e-06,1.372e-06,6.473e-07,8.55979e-07,2.984695248323206e-06
6.032344928587166e-07,4.923e-07,1.70515e-06,1.379e-06,6.462e-07,8.77629e-07,3.097875403998263e-06
3.728455343231062e-06,4.854e-07,1.70515e-06,1.367e-06,6.555e-07,8.77113e-07,1.3167297069312606e-06
3.2194653324869333e-06,4.944e-07,1.70515e-06,1.366e-06,6.588e-07,9.01959e-07,2.3407686563326895e-06
3.614760493146574e-07,4.898e-07,1.71134e-06,1.364e-06,6.593e-07,9.25258e-07,2.999255814067137e-06
1.2711113410432677e-06,4.888e-07,1.70928e-06,1.354e-06,6.636e-07,9.48866e-07,3.644781783026319e-06
5.72540489969902e-07,4.971e-07,1.70412e-06,1.357e-06,6.543e-07,1.00464e-06,2.627972237130484e-06
3.8250327234711934e-07,5.118e-07,1.7e-06,1.353e-06,6.633e-07,1.02031e-06,1.4083308375851597e-06
1.116909677368025e-06,5.149e-07,1.70412e-06,1.359e-06,6.695e-07,1.0232e-06,3.3705667232953554e-06
3.345932237319591e-06,5.151e-07,1.69278e-06,1.361e-06,6.632e-07,1.01691e-06,2.539641165838895e-06
1.4626521133959324e-06,5.093e-07,1.69485e-06,1.357e-06,6.805e-07,1.04433e-06,2.129583740177796e-06
1.3724288183652032e-06,5.141e-07,1.67835e-06,1.356e-06,6.816e-07,1.05361e-06,2.1521135539950067e-06
3.7625201918284178e-06,5.294e-07,1.67423e-06,1.357e-06,6.879e-07,1.06701e-06,2.3082705187691605e-06
3.639951986974033e-06,5.336e-07,1.67423e-06,1.359e-06,6.922e-07,1.06598e-06,1.0280388163241037e-06
7.200235841425262e-07,5.419e-07,1.67732e-06,1.357e-06,6.954e-07,1.0866e-06,3.8484599952838495e-06
1.1377868610084202e-06,7.943e-07,1.67732e-06,1.349e-06,6.97e-07,1.14021e-06,3.267796648164278e-07
2.6482635059878956e-06,1.403e-05,1.67732e-06,1.35e-06,7.034e-07,1.15258e-06,4.974866866967984e-07
2.279942850937976e-06,0.0001389,1.66804e-06,1.353e-06,7.027e-07,1.16701e-06,2.899937034784235e-06
3.120696034763164e-06,0.0004546,1.65773e-06,1.358e-06,7.057e-07,1.21134e-06,4.909643748274703e-07
1.0631434711955675e-06,0.0004569,1.65876e-06,1.352e-06,7.211e-07,1.26392e-06,1.2778265742606267e-06
3.0734117044439856e-06,0.000453,1.65876e-06,1.353e-06,7.233e-07,1.30722e-06,2.3059648802882755e-06
2.190256127694809e-06,0.0004515,1.75567e-06,1.349e-06,7.439e-07,1.33918e-06,3.264562921149167e-06
1.5965909450146793e-06,0.0003327,1.65567e-05,1.341e-06,7.347e-07,1.37835e-06,2.8134279607407905e-07
2.5620677680862313e-06,1.566e-05,0.000219072,1.346e-06,7.344e-07,1.42062e-06,1.6925654412369496e-06
3.828707289808528e-06,4.7e-07,0.000488144,1.352e-06,7.376e-07,1.37835e-06,2.3410092380374545e-06
1.6901157177998137e-06,4.461e-07,0.000486804,1.35e-06,7.324e-07,1.41443e-06,1.579481165325939e-06
3.714834140867496e-06,2.649e-07,0.000482784,1.348e-06,7.373e-07,1.4299e-06,3.3508404138135304e-06
1.5003046127340496e-06,3.417e-07,0.000479485,5.088e-06,7.475e-07,1.47423e-06,2.6542765086138067e-06
3.700088419229175e-06,1.591e-06,0.000287629,1.344e-05,7.421e-07,1.50619e-06,3.353873943592006e-06
3.461335835617918e-06,3.61e-06,8.75876e-06,0.0003648,7.349e-07,1.49072e-06,5.647479242670723e-07
3.850125329371267e-06,3.481e-06,2.96701e-07,0.0004685,7.354e-07,1.49794e-06,2.6003358509049227e-06
1.4648789027488771e-06,4.253e-06,2.88041e-07,0.0004666,7.447e-07,1.48041e-06,1.5491548242709848e-06
3.4904318578106155e-06,5.511e-06,1.99072e-07,0.0004637,6.821e-06,1.51546e-06,1.64794296686019e-06
1.7946013653564415e-06,5.213e-06,1.86392e-07,0.0004581,2.47e-05,1.52784e-06,8.357743573668706e-07
1.4360014374017544e-06,6.155e-06,1.80515e-07,9.301e-05,0.0004386,1.53505e-06,1.8011137213781834e-06
3.978926956194279e-06,1.092e-06,5.75258e-07,3.594e-06,0.0004877,1.52474e-06,1.3995269081936943e-06
